batch,arm,label,seed,run,epoch,test_accuracy_percent,train_accuracy_percent,source_ids,registered_horizon_epochs,in_registered_plateau5_window,scope,units
cts2,k49-C,k49-C,0,cts2-k49-C-s0,82,55.25,62.11,S0346,100,false,"`cts2`, 12 runs, 100 ep | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.",accuracy percent; epoch is the raw zero-based epoch index
cts2,k49-C,k49-C,0,cts2-k49-C-s0,83,55.24,62.32,S0346,100,false,"`cts2`, 12 runs, 100 ep | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.",accuracy percent; epoch is the raw zero-based epoch index
cts2,k49-C,k49-C,0,cts2-k49-C-s0,84,55.24,62.17,S0346,100,false,"`cts2`, 12 runs, 100 ep | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.",accuracy percent; epoch is the raw zero-based epoch index
cts2,k49-C,k49-C,0,cts2-k49-C-s0,85,55.31,62.28,S0346,100,false,"`cts2`, 12 runs, 100 ep | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.",accuracy percent; epoch is the raw zero-based epoch index
cts2,k49-C,k49-C,0,cts2-k49-C-s0,86,55.41,62.21,S0346,100,false,"`cts2`, 12 runs, 100 ep | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.",accuracy percent; epoch is the raw zero-based epoch index
cts2,k49-C,k49-C,0,cts2-k49-C-s0,87,55.21,62.25,S0346,100,false,"`cts2`, 12 runs, 100 ep | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.",accuracy percent; epoch is the raw zero-based epoch index
cts2,k49-C,k49-C,0,cts2-k49-C-s0,88,55.52,62.49,S0346,100,false,"`cts2`, 12 runs, 100 ep | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.",accuracy percent; epoch is the raw zero-based epoch index
cts2,k49-C,k49-C,0,cts2-k49-C-s0,89,55.29,62.41,S0346,100,false,"`cts2`, 12 runs, 100 ep | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.",accuracy percent; epoch is the raw zero-based epoch index
cts2,k49-C,k49-C,0,cts2-k49-C-s0,90,55.12,62.26,S0346,100,false,"`cts2`, 12 runs, 100 ep | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.",accuracy percent; epoch is the raw zero-based epoch index
cts2,k49-C,k49-C,0,cts2-k49-C-s0,91,55.5,62.21,S0346,100,false,"`cts2`, 12 runs, 100 ep | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.",accuracy percent; epoch is the raw zero-based epoch index
cts2,k49-C,k49-C,0,cts2-k49-C-s0,92,55.27,62.42,S0346,100,false,"`cts2`, 12 runs, 100 ep | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.",accuracy percent; epoch is the raw zero-based epoch index
cts2,k49-C,k49-C,0,cts2-k49-C-s0,93,55.42,62.28,S0346,100,false,"`cts2`, 12 runs, 100 ep | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.",accuracy percent; epoch is the raw zero-based epoch index
cts2,k49-C,k49-C,0,cts2-k49-C-s0,94,55.48,62.22,S0346,100,false,"`cts2`, 12 runs, 100 ep | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.",accuracy percent; epoch is the raw zero-based epoch index
cts2,k49-C,k49-C,0,cts2-k49-C-s0,95,55.39,62.19,S0346,100,true,"`cts2`, 12 runs, 100 ep | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.",accuracy percent; epoch is the raw zero-based epoch index
cts2,k49-C,k49-C,0,cts2-k49-C-s0,96,55.36,62.43,S0346,100,true,"`cts2`, 12 runs, 100 ep | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.",accuracy percent; epoch is the raw zero-based epoch index
